date,open,close,high,low,volume
2025-08-01,11.87,11.71,11.96,11.6,353561.2
2025-08-04,11.62,12.01,12.02,11.62,415431.7
2025-08-05,12.01,12.22,12.37,11.91,629521.62
2025-08-06,12.12,12.34,12.49,12.06,591490.78
2025-08-07,12.34,12.35,12.62,12.22,496490.88
2025-08-08,12.3,12.22,12.62,12.21,521159.0
2025-08-11,12.13,12.26,12.43,12.12,377579.37
2025-08-12,12.26,12.53,12.67,12.14,576802.05
2025-08-13,12.5,12.8,12.85,12.4,658920.97
2025-08-14,12.8,12.18,12.81,12.18,607318.3
2025-08-15,12.18,12.62,12.75,12.18,490099.8
2025-08-18,12.63,14.12,14.35,12.63,1136625.67
2025-08-19,13.89,14.24,14.73,13.78,1059108.1
2025-08-20,14.01,14.11,14.5,13.7,737298.58
2025-08-21,14.0,13.93,14.27,13.72,557292.55
2025-08-22,13.87,13.55,13.87,13.29,569810.73
