date,open,close,high,low,volume
2025-08-01,5.81,5.78,5.84,5.75,110769.0
2025-08-04,5.71,5.76,5.76,5.71,92060.88
2025-08-05,5.77,5.78,5.8,5.75,93091.18
2025-08-06,5.78,5.75,5.78,5.72,118282.0
2025-08-07,5.75,5.75,5.77,5.73,104954.48
2025-08-08,5.73,5.75,5.78,5.73,87211.22
2025-08-11,5.76,5.85,5.89,5.72,241911.15
2025-08-12,5.84,5.82,5.88,5.81,129596.18
2025-08-13,5.96,5.9,6.08,5.87,342930.18
2025-08-14,5.85,5.78,5.91,5.75,255875.63
2025-08-15,5.75,5.77,5.78,5.71,149693.44
2025-08-18,5.77,5.78,5.79,5.75,170694.1
2025-08-19,5.8,5.84,5.86,5.77,222541.02
2025-08-20,5.82,5.94,5.98,5.78,379149.62
2025-08-21,5.93,6.12,6.12,5.88,652169.02
2025-08-22,6.12,6.0,6.12,5.95,392770.0
