date,open,close,high,low,volume
2025-08-01,16.42,16.64,16.64,16.36,40241.45
2025-08-04,16.7,17.44,17.49,16.62,180764.53
2025-08-05,17.34,17.42,17.46,17.13,117811.05
2025-08-06,17.36,17.44,17.49,17.26,82797.83
2025-08-07,17.77,18.37,19.18,17.77,382024.19
2025-08-08,17.89,19.62,19.9,17.89,410314.47
2025-08-11,19.03,19.36,20.32,18.67,303547.84
2025-08-12,19.36,19.41,20.15,19.19,271600.03
2025-08-13,19.27,19.46,19.47,18.85,186206.21
2025-08-14,19.36,18.54,19.36,18.44,182550.45
2025-08-15,18.74,18.9,19.2,18.67,116578.08
2025-08-18,19.02,19.27,19.5,18.76,157554.9
2025-08-19,19.4,19.25,19.6,19.0,120417.2
2025-08-20,19.03,19.82,19.95,19.0,185777.38
2025-08-21,19.74,19.44,19.9,19.2,117651.75
2025-08-22,19.44,19.41,19.66,19.15,85513.43
