date,open,close,high,low,volume
2025-08-01,44.83,45.67,46.25,44.06,139292.99
2025-08-04,45.46,46.38,47.18,45.46,122843.66
2025-08-05,46.47,49.3,50.22,45.8,309786.41
2025-08-06,49.83,50.64,52.99,49.4,357106.02
2025-08-07,49.88,50.06,52.39,49.88,257172.16
2025-08-08,49.98,49.2,50.67,49.06,154247.37
2025-08-11,49.41,49.51,49.86,48.61,159446.06
2025-08-12,49.0,49.3,49.38,48.26,129182.71
2025-08-13,49.02,50.45,50.99,48.75,198870.32
2025-08-14,50.7,49.88,51.0,49.69,147812.38
2025-08-15,49.68,50.15,50.49,49.4,118472.5
2025-08-18,50.01,52.27,52.7,49.93,200763.36
2025-08-19,51.81,52.94,53.8,51.3,185821.28
2025-08-20,52.55,52.39,52.56,51.34,128937.37
2025-08-21,52.64,51.26,52.85,50.71,110933.87
2025-08-22,51.9,53.53,54.5,51.51,189147.95
