date,open,close,high,low,volume
2025-08-01,63.29,62.94,64.63,62.09,64289.61
2025-08-04,62.29,62.94,63.41,61.87,56894.87
2025-08-05,63.0,68.07,68.68,62.42,127634.93
2025-08-06,70.99,73.76,76.65,68.83,179136.57
2025-08-07,72.99,76.32,78.49,71.32,162260.72
2025-08-08,75.35,72.48,75.55,71.84,110541.6
2025-08-11,75.51,77.4,81.76,75.12,135746.44
2025-08-12,76.37,81.99,84.29,75.78,146055.38
2025-08-13,80.36,86.59,87.19,75.99,233541.52
2025-08-14,84.0,83.37,89.49,82.09,160760.42
2025-08-15,83.7,83.33,85.78,80.4,137532.36
2025-08-18,85.49,94.88,97.2,84.5,178650.25
2025-08-19,92.57,89.02,93.88,88.02,132357.56
2025-08-20,88.51,89.55,90.35,83.6,143476.19
2025-08-21,87.54,86.84,91.56,86.7,114985.81
2025-08-22,86.6,94.76,95.55,86.6,159427.51
