date,open,close,high,low,volume
2025-08-01,4.2,4.19,4.24,4.17,806455.77
2025-08-04,4.17,4.19,4.19,4.16,692024.35
2025-08-05,4.2,4.23,4.24,4.19,722576.63
2025-08-06,4.23,4.24,4.25,4.2,684895.65
2025-08-07,4.25,4.25,4.29,4.22,862414.58
2025-08-08,4.24,4.22,4.25,4.21,573533.2
2025-08-11,4.22,4.26,4.28,4.22,787504.75
2025-08-12,4.26,4.3,4.3,4.25,824180.82
2025-08-13,4.3,4.36,4.39,4.26,1663341.56
2025-08-14,4.36,4.31,4.4,4.3,1530753.68
2025-08-15,4.3,4.51,4.6,4.29,3634865.43
2025-08-18,4.56,4.6,4.65,4.51,3231280.13
2025-08-19,4.59,4.53,4.63,4.51,1656404.28
2025-08-20,4.51,4.6,4.61,4.44,1859116.73
2025-08-21,4.62,4.54,4.64,4.51,1492463.65
2025-08-22,4.52,4.64,4.64,4.52,2136032.3
