date,open,close,high,low,volume
2025-08-01,16.01,15.82,16.12,15.8,105940.49
2025-08-04,15.82,16.28,16.3,15.7,162435.52
2025-08-05,16.32,16.72,16.99,16.23,216718.27
2025-08-06,16.68,16.68,16.78,16.56,94693.64
2025-08-07,16.68,16.76,16.78,16.61,78397.0
2025-08-08,16.77,16.97,17.14,16.73,121968.17
2025-08-11,17.25,16.96,17.3,16.82,154307.35
2025-08-12,17.1,17.12,17.65,17.1,177822.18
2025-08-13,17.12,17.02,17.26,16.71,153051.24
2025-08-14,16.94,16.72,17.11,16.68,99314.0
2025-08-15,16.73,16.83,16.91,16.65,97470.46
2025-08-18,17.24,17.28,17.42,17.01,380905.07
2025-08-19,17.35,16.91,17.35,16.86,271603.02
2025-08-20,16.96,17.21,17.23,16.8,231771.49
2025-08-21,17.33,17.38,17.41,17.12,200547.02
2025-08-22,17.29,17.36,17.38,17.01,166714.0
