date,open,close,high,low,volume
2025-08-01,10.34,10.45,10.52,10.31,54609.0
2025-08-04,10.4,10.34,10.45,10.3,40296.71
2025-08-05,10.34,10.42,10.46,10.34,33787.21
2025-08-06,10.42,10.49,10.5,10.35,32491.0
2025-08-07,10.55,10.43,10.65,10.39,44300.99
2025-08-08,10.43,10.53,10.54,10.3,40054.67
2025-08-11,10.52,10.62,10.67,10.49,44891.0
2025-08-12,10.64,10.46,10.66,10.43,39936.15
2025-08-13,10.55,11.51,11.51,10.38,159336.93
2025-08-14,12.09,12.66,12.66,11.45,552807.06
2025-08-15,12.1,12.95,13.5,12.0,543531.12
2025-08-18,12.7,12.4,12.88,12.29,370957.8
2025-08-19,12.42,12.63,12.7,12.16,254946.12
2025-08-20,12.68,13.08,13.24,12.13,315161.01
2025-08-21,13.0,12.52,13.02,12.48,206121.29
2025-08-22,12.53,13.39,13.77,12.4,377335.75
