date,open,close,high,low,volume
2025-08-01,34.09,34.25,34.35,33.74,20862.67
2025-08-04,34.14,34.32,34.74,34.14,24896.77
2025-08-05,34.43,34.88,34.95,34.34,24730.6
2025-08-06,34.8,34.9,34.97,34.54,23344.77
2025-08-07,34.89,34.69,35.11,34.59,20066.33
2025-08-08,34.77,34.41,34.77,34.19,19250.29
2025-08-11,34.57,34.69,34.86,34.38,24822.36
2025-08-12,34.57,34.6,34.75,34.36,19953.98
2025-08-13,34.6,34.7,34.92,34.57,30859.83
2025-08-14,34.8,34.12,34.89,34.09,33296.05
2025-08-15,34.04,34.82,34.84,34.04,30474.1
2025-08-18,34.91,35.38,35.67,34.71,34824.82
2025-08-19,35.38,35.15,35.58,34.97,24262.04
2025-08-20,35.03,35.83,35.86,34.8,27979.19
2025-08-21,35.85,36.09,36.43,35.57,35169.59
2025-08-22,36.06,36.63,36.75,36.0,43486.04
