date,open,close,high,low,volume
2025-08-01,33.36,33.92,34.29,33.05,56621.38
2025-08-04,33.81,34.71,35.05,32.45,75104.98
2025-08-05,34.73,34.46,35.96,34.04,55972.31
2025-08-06,34.6,33.6,35.23,33.15,58615.14
2025-08-07,33.54,33.1,34.44,32.82,55504.04
2025-08-08,33.11,32.5,33.28,32.3,43996.58
2025-08-11,32.45,33.16,33.5,32.31,41139.5
2025-08-12,33.18,32.86,33.35,32.09,38578.86
2025-08-13,32.62,35.15,35.6,32.6,100383.38
2025-08-14,35.1,33.8,35.46,33.72,69394.47
2025-08-15,33.75,34.25,34.67,33.25,48915.22
2025-08-18,34.78,34.22,34.85,33.68,66949.63
2025-08-19,34.01,33.05,34.78,32.9,77216.09
2025-08-20,32.98,33.61,33.63,32.4,54795.5
2025-08-21,33.56,33.17,34.1,32.94,36272.59
2025-08-22,32.97,33.43,33.73,32.97,36393.65
