date,open,close,high,low,volume
2025-08-01,70.2,70.79,70.97,70.1,286446.67
2025-08-04,70.55,70.94,71.0,70.2,197766.42
2025-08-05,71.11,71.38,71.51,70.68,191748.45
2025-08-06,71.38,71.7,71.78,70.99,221358.49
2025-08-07,71.51,71.48,71.93,71.21,203615.65
2025-08-08,71.4,71.58,71.83,71.29,201184.05
2025-08-11,71.3,71.76,71.82,71.19,179123.66
2025-08-12,71.75,71.93,72.44,71.6,240475.89
2025-08-13,71.98,71.82,72.29,71.6,253846.69
2025-08-14,71.8,72.33,73.05,71.72,455149.24
2025-08-15,72.33,72.3,72.4,71.81,274699.55
2025-08-18,72.31,71.84,72.56,71.61,542997.61
2025-08-19,73.2,72.68,73.63,72.2,537602.6
2025-08-20,72.21,72.22,72.32,71.51,403770.28
2025-08-21,72.09,71.92,72.5,71.66,338013.71
2025-08-22,71.97,72.09,72.19,71.65,391388.92
