date,open,close,high,low,volume
2025-08-01,17.32,17.88,18.26,17.3,279259.4
2025-08-04,17.63,17.98,17.98,17.47,165431.21
2025-08-05,17.9,18.51,18.57,17.9,291786.0
2025-08-06,18.35,18.51,18.57,18.18,208028.84
2025-08-07,18.5,18.75,18.88,18.43,278281.6
2025-08-08,19.38,18.47,20.23,18.46,575506.97
2025-08-11,18.26,18.74,18.89,18.11,271635.98
2025-08-12,18.56,18.75,19.18,18.4,279126.37
2025-08-13,18.65,18.82,18.92,18.44,249197.59
2025-08-14,18.88,19.52,19.8,18.55,521286.4
2025-08-15,19.57,19.44,19.97,19.35,414735.05
2025-08-18,19.34,19.59,19.78,19.34,354100.35
2025-08-19,19.59,20.33,20.33,19.5,410631.65
2025-08-20,20.01,20.23,20.67,19.89,282257.14
2025-08-21,20.1,19.55,20.22,19.41,301197.92
2025-08-22,19.41,19.61,19.65,19.39,191153.0
