date,open,close,high,low,volume
2025-08-01,9.37,9.17,9.43,9.15,348534.64
2025-08-04,9.17,9.54,9.55,9.13,544498.4
2025-08-05,9.64,9.57,9.7,9.45,552786.32
2025-08-06,9.58,9.71,9.78,9.49,694332.92
2025-08-07,9.75,9.65,9.93,9.58,577921.2
2025-08-08,9.61,9.56,9.76,9.53,415261.58
2025-08-11,9.55,10.03,10.14,9.55,1103259.47
2025-08-12,10.0,9.93,10.28,9.89,694761.74
2025-08-13,9.91,10.18,10.27,9.82,744242.36
2025-08-14,10.18,9.83,10.18,9.76,665984.12
2025-08-15,9.82,9.99,10.23,9.8,640812.4
2025-08-18,10.08,10.65,10.9,10.04,1072480.26
2025-08-19,11.72,11.72,11.72,11.72,215810.78
2025-08-20,12.89,12.89,12.89,12.89,136921.77
2025-08-21,13.5,12.5,13.5,12.16,2136372.26
2025-08-22,12.49,12.19,12.8,11.98,1511788.92
