date,open,close,high,low,volume
2025-08-01,8.72,8.73,8.78,8.71,76025.39
2025-08-04,8.72,8.75,8.78,8.66,84458.16
2025-08-05,8.76,8.83,8.84,8.75,94807.19
2025-08-06,8.82,8.77,8.83,8.72,124975.03
2025-08-07,8.76,8.79,8.85,8.73,143198.82
2025-08-08,8.8,8.79,8.82,8.76,79487.73
2025-08-11,8.78,8.84,8.85,8.76,125991.58
2025-08-12,8.83,8.82,8.86,8.81,89399.8
2025-08-13,8.84,8.86,8.87,8.82,139383.12
2025-08-14,8.86,8.73,8.89,8.72,160719.0
2025-08-15,8.73,8.74,8.75,8.65,179725.04
2025-08-18,8.76,8.86,8.93,8.73,241571.53
2025-08-19,8.88,8.89,8.9,8.82,151709.72
2025-08-20,8.89,9.05,9.05,8.84,240355.24
2025-08-21,9.03,8.95,9.04,8.89,208299.61
2025-08-22,8.95,8.97,8.97,8.88,164418.76
