date,open,close,high,low,volume
2025-08-01,36.5,36.79,37.0,35.52,117602.17
2025-08-04,36.98,36.72,37.23,36.0,85936.84
2025-08-05,36.68,35.99,36.68,35.9,62750.23
2025-08-06,36.14,36.38,36.67,36.02,51521.87
2025-08-07,36.39,35.83,36.65,35.7,59156.95
2025-08-08,35.5,35.05,35.76,35.05,59785.77
2025-08-11,35.05,35.6,35.88,35.05,44144.41
2025-08-12,35.58,34.92,35.58,34.61,64631.18
2025-08-13,34.95,34.91,35.32,34.64,70022.4
2025-08-14,35.1,33.84,35.3,33.84,90120.3
2025-08-15,33.8,34.33,34.51,33.71,59248.04
2025-08-18,34.45,35.08,35.65,34.45,96306.09
2025-08-19,35.1,34.72,35.47,34.68,75419.03
2025-08-20,34.72,35.0,35.01,33.97,84692.22
2025-08-21,35.2,35.44,36.17,35.03,110419.33
2025-08-22,35.46,37.33,37.38,35.31,177153.94
