date,open,close,high,low,volume
2025-08-01,19.15,19.23,19.34,19.12,100893.58
2025-08-04,19.15,19.28,19.28,19.08,83246.68
2025-08-05,19.3,19.39,19.4,19.24,108742.51
2025-08-06,19.41,19.39,19.41,19.29,92740.97
2025-08-07,19.4,19.26,19.41,19.23,105107.85
2025-08-08,19.26,19.21,19.28,19.18,83603.76
2025-08-11,19.22,19.29,19.31,19.17,92346.55
2025-08-12,19.29,19.33,19.39,19.29,102647.92
2025-08-13,19.36,19.29,19.37,19.24,111026.72
2025-08-14,19.33,19.03,19.34,19.0,137454.2
2025-08-15,19.05,19.18,19.21,19.05,147619.31
2025-08-18,19.2,19.38,19.44,19.17,175473.7
2025-08-19,19.4,19.29,19.42,19.21,148360.94
2025-08-20,19.24,19.46,19.5,19.19,164943.12
2025-08-21,19.48,19.59,19.68,19.39,200175.89
2025-08-22,19.59,19.62,19.63,19.49,145786.53
