date,open,close,high,low,volume
2025-08-01,9.03,8.82,9.12,8.82,586367.77
2025-08-04,8.87,9.1,9.13,8.84,584006.7
2025-08-05,9.13,9.05,9.16,8.96,524293.89
2025-08-06,9.0,9.21,9.29,8.97,604454.08
2025-08-07,9.22,9.07,9.25,9.03,443179.78
2025-08-08,9.03,9.07,9.26,8.95,454633.36
2025-08-11,9.07,9.13,9.17,9.04,338636.19
2025-08-12,9.1,8.93,9.12,8.9,401413.46
2025-08-13,8.97,9.03,9.09,8.96,313955.49
2025-08-14,9.0,8.77,9.03,8.76,363717.68
2025-08-15,8.76,8.84,8.86,8.73,219323.93
2025-08-18,8.84,8.91,8.95,8.84,268234.31
2025-08-19,8.91,8.92,8.95,8.8,261909.43
2025-08-20,8.92,8.96,8.98,8.85,285462.44
2025-08-21,9.03,8.91,9.05,8.87,297878.0
2025-08-22,8.9,9.0,9.0,8.81,290538.13
