时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2025-07-11 09:35:00,7.1,7.08,7.13,7.07,-0.28,-0.02,8252,5853920.0,0.85,0.14
2025-07-11 09:40:00,7.09,7.08,7.1,7.06,0.0,0.0,5696,4030180.0,0.56,0.1
2025-07-11 09:45:00,7.07,7.07,7.08,7.06,-0.14,-0.01,4338,3067365.0,0.28,0.07
2025-07-11 09:50:00,7.07,7.09,7.09,7.07,0.28,0.02,1937,1371464.0,0.28,0.03
2025-07-11 09:55:00,7.09,7.07,7.1,7.07,-0.28,-0.02,2108,1492461.0,0.42,0.04
2025-07-11 10:00:00,7.08,7.07,7.08,7.07,0.0,0.0,3501,2476766.0,0.14,0.06
2025-07-11 10:05:00,7.07,7.07,7.08,7.04,0.0,0.0,6593,4653699.0,0.57,0.11
2025-07-11 10:10:00,7.07,7.06,7.08,7.05,-0.14,-0.01,2941,2078416.0,0.42,0.05
2025-07-11 10:15:00,7.05,7.04,7.07,7.04,-0.28,-0.02,3623,2556163.0,0.42,0.06
2025-07-11 10:20:00,7.05,7.04,7.05,7.04,0.0,0.0,4125,2904350.0,0.14,0.07
2025-07-11 10:25:00,7.05,7.07,7.08,7.04,0.43,0.03,3124,2204610.0,0.57,0.05
2025-07-11 10:30:00,7.08,7.1,7.1,7.08,0.42,0.03,3127,2216480.0,0.28,0.05
2025-07-11 10:35:00,7.1,7.09,7.11,7.09,-0.14,-0.01,4013,2849959.0,0.28,0.07
2025-07-11 10:40:00,7.09,7.08,7.1,7.08,-0.14,-0.01,2101,1489383.0,0.28,0.04
2025-07-11 10:45:00,7.08,7.09,7.1,7.08,0.14,0.01,1550,1098919.0,0.28,0.03
2025-07-11 10:50:00,7.09,7.08,7.1,7.08,-0.14,-0.01,1343,952199.0,0.28,0.02
2025-07-11 10:55:00,7.08,7.08,7.09,7.07,0.0,0.0,1983,1404170.0,0.28,0.03
2025-07-11 11:00:00,7.08,7.08,7.09,7.08,0.0,0.0,1220,863794.0,0.14,0.02
2025-07-11 11:05:00,7.08,7.07,7.08,7.07,-0.14,-0.01,1451,1026539.0,0.14,0.02
2025-07-11 11:10:00,7.08,7.08,7.09,7.07,0.14,0.01,1592,1127262.0,0.28,0.03
2025-07-11 11:15:00,7.08,7.07,7.08,7.06,-0.14,-0.01,2025,1432015.0,0.28,0.03
2025-07-11 11:20:00,7.07,7.07,7.07,7.06,0.0,0.0,714,504686.0,0.14,0.01
2025-07-11 11:25:00,7.08,7.07,7.08,7.07,0.0,0.0,828,585428.0,0.14,0.01
2025-07-11 11:30:00,7.07,7.1,7.11,7.07,0.42,0.03,3883,2754684.0,0.57,0.07
2025-07-11 13:05:00,7.1,7.11,7.12,7.1,0.14,0.01,4270,3034193.0,0.28,0.07
2025-07-11 13:10:00,7.11,7.12,7.13,7.11,0.14,0.01,6562,4673581.0,0.28,0.11
2025-07-11 13:15:00,7.11,7.11,7.12,7.1,-0.14,-0.01,4485,3187262.0,0.28,0.08
2025-07-11 13:20:00,7.11,7.12,7.12,7.11,0.14,0.01,1342,954342.0,0.14,0.02
2025-07-11 13:25:00,7.11,7.12,7.12,7.1,0.0,0.0,2288,1628055.0,0.28,0.04
2025-07-11 13:30:00,7.12,7.11,7.13,7.11,-0.14,-0.01,1953,1390398.0,0.28,0.03
2025-07-11 13:35:00,7.11,7.13,7.13,7.11,0.28,0.02,3417,2434506.0,0.28,0.06
2025-07-11 13:40:00,7.13,7.13,7.13,7.12,0.0,0.0,979,697506.0,0.14,0.02
2025-07-11 13:45:00,7.12,7.14,7.14,7.12,0.14,0.01,2345,1672695.0,0.28,0.04
2025-07-11 13:50:00,7.14,7.14,7.14,7.13,0.0,0.0,1786,1274643.0,0.14,0.03
2025-07-11 13:55:00,7.14,7.12,7.14,7.12,-0.28,-0.02,2354,1678313.0,0.28,0.04
2025-07-11 14:00:00,7.12,7.12,7.13,7.12,0.0,0.0,3296,2347358.0,0.14,0.06
2025-07-11 14:05:00,7.12,7.11,7.12,7.11,-0.14,-0.01,2337,1663643.0,0.14,0.04
2025-07-11 14:10:00,7.12,7.11,7.12,7.11,0.0,0.0,884,629164.0,0.14,0.02
2025-07-11 14:15:00,7.11,7.12,7.12,7.11,0.14,0.01,1633,1161111.0,0.14,0.03
2025-07-11 14:20:00,7.11,7.11,7.12,7.11,-0.14,-0.01,2047,1455503.0,0.14,0.04
2025-07-11 14:25:00,7.12,7.1,7.12,7.1,-0.14,-0.01,1684,1196407.0,0.28,0.03
2025-07-11 14:30:00,7.11,7.11,7.12,7.1,0.14,0.01,2312,1644118.0,0.28,0.04
2025-07-11 14:35:00,7.11,7.1,7.12,7.1,-0.14,-0.01,2132,1515802.0,0.28,0.04
2025-07-11 14:40:00,7.1,7.08,7.1,7.08,-0.28,-0.02,5086,3606169.0,0.28,0.09
2025-07-11 14:45:00,7.08,7.08,7.1,7.08,0.0,0.0,3909,2769238.0,0.28,0.07
2025-07-11 14:50:00,7.09,7.08,7.09,7.07,0.0,0.0,3417,2418658.0,0.28,0.06
2025-07-11 14:55:00,7.07,7.08,7.09,7.07,0.0,0.0,5847,4137388.0,0.28,0.1
