date,open,close,high,low,volume
2025-08-01,61.03,66.22,66.22,61.03,483675.75
2025-08-04,67.03,69.03,70.91,65.9,577889.91
2025-08-05,69.7,67.96,70.03,66.69,302526.01
2025-08-06,67.37,66.83,67.9,65.98,260545.66
2025-08-07,66.83,65.57,66.95,64.83,203056.55
2025-08-08,65.32,67.31,68.28,65.12,334460.62
2025-08-11,66.75,67.24,67.62,66.02,202409.72
2025-08-12,67.25,67.19,67.79,66.24,185777.22
2025-08-13,67.23,68.23,69.4,66.53,260898.71
2025-08-14,68.23,67.07,69.91,66.69,227400.83
2025-08-15,67.08,74.32,76.99,67.04,406021.15
2025-08-18,75.5,74.25,75.9,73.7,297517.77
2025-08-19,73.88,74.48,77.39,73.7,278191.81
2025-08-20,75.94,77.09,78.2,74.64,267143.17
2025-08-21,75.68,75.99,78.97,75.3,201741.73
2025-08-22,75.79,77.37,78.1,74.66,245795.72
