时间,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2025-07-11 09:35:00,3.73,3.7,3.76,3.7,-0.8,-0.03,26417,9847520.0,1.61,0.1
2025-07-11 09:40:00,3.71,3.73,3.73,3.7,0.81,0.03,6259,2325359.0,0.81,0.02
2025-07-11 09:45:00,3.73,3.71,3.73,3.71,-0.54,-0.02,10964,4075884.0,0.54,0.04
2025-07-11 09:50:00,3.72,3.72,3.72,3.71,0.27,0.01,3949,1466768.0,0.27,0.01
2025-07-11 09:55:00,3.71,3.73,3.73,3.71,0.27,0.01,11061,4108503.0,0.54,0.04
2025-07-11 10:00:00,3.73,3.74,3.74,3.72,0.27,0.01,8508,3178192.0,0.54,0.03
2025-07-11 10:05:00,3.73,3.71,3.74,3.71,-0.8,-0.03,15902,5923711.0,0.8,0.06
2025-07-11 10:10:00,3.72,3.71,3.72,3.7,0.0,0.0,7791,2886004.0,0.54,0.03
2025-07-11 10:15:00,3.71,3.7,3.71,3.69,-0.27,-0.01,12086,4472221.0,0.54,0.05
2025-07-11 10:20:00,3.7,3.69,3.7,3.68,-0.27,-0.01,10667,3933543.0,0.54,0.04
2025-07-11 10:25:00,3.7,3.71,3.71,3.69,0.54,0.02,7044,2607515.0,0.54,0.03
2025-07-11 10:30:00,3.71,3.71,3.71,3.7,0.0,0.0,1475,546595.0,0.27,0.01
2025-07-11 10:35:00,3.71,3.7,3.72,3.7,-0.27,-0.01,7071,2622796.0,0.54,0.03
2025-07-11 10:40:00,3.71,3.7,3.71,3.7,0.0,0.0,1837,680419.0,0.27,0.01
2025-07-11 10:45:00,3.7,3.7,3.71,3.7,0.0,0.0,3759,1391512.0,0.27,0.01
2025-07-11 10:50:00,3.71,3.7,3.71,3.7,0.0,0.0,1524,564059.0,0.27,0.01
2025-07-11 10:55:00,3.71,3.7,3.71,3.7,0.0,0.0,2016,746789.0,0.27,0.01
2025-07-11 11:00:00,3.7,3.7,3.71,3.7,0.0,0.0,1842,681976.0,0.27,0.01
2025-07-11 11:05:00,3.71,3.7,3.71,3.7,0.0,0.0,1579,584773.0,0.27,0.01
2025-07-11 11:10:00,3.7,3.69,3.71,3.69,-0.27,-0.01,2081,769036.0,0.54,0.01
2025-07-11 11:15:00,3.69,3.7,3.7,3.69,0.27,0.01,2478,914742.0,0.27,0.01
2025-07-11 11:20:00,3.69,3.7,3.7,3.69,0.0,0.0,6443,2379648.0,0.27,0.02
2025-07-11 11:25:00,3.7,3.7,3.7,3.69,0.0,0.0,1936,714842.0,0.27,0.01
2025-07-11 11:30:00,3.7,3.7,3.71,3.69,0.0,0.0,10868,4024608.0,0.54,0.04
2025-07-11 13:05:00,3.7,3.7,3.71,3.69,0.0,0.0,18147,6714558.0,0.54,0.07
2025-07-11 13:10:00,3.69,3.7,3.71,3.69,0.0,0.0,5660,2092922.0,0.54,0.02
2025-07-11 13:15:00,3.69,3.69,3.7,3.69,-0.27,-0.01,3387,1251118.0,0.27,0.01
2025-07-11 13:20:00,3.69,3.69,3.7,3.69,0.0,0.0,2664,984391.0,0.27,0.01
2025-07-11 13:25:00,3.7,3.7,3.7,3.69,0.27,0.01,3083,1139329.0,0.27,0.01
2025-07-11 13:30:00,3.7,3.69,3.7,3.69,-0.27,-0.01,3724,1375370.0,0.27,0.01
2025-07-11 13:35:00,3.7,3.69,3.7,3.69,0.0,0.0,3032,1119948.0,0.27,0.01
2025-07-11 13:40:00,3.69,3.69,3.7,3.68,0.0,0.0,6551,2417524.0,0.54,0.02
2025-07-11 13:45:00,3.7,3.69,3.7,3.68,0.0,0.0,7951,2933251.0,0.54,0.03
2025-07-11 13:50:00,3.68,3.69,3.7,3.68,0.0,0.0,4732,1746655.0,0.54,0.02
2025-07-11 13:55:00,3.7,3.68,3.7,3.68,-0.27,-0.01,8247,3037595.0,0.54,0.03
2025-07-11 14:00:00,3.68,3.69,3.69,3.68,0.27,0.01,2271,836179.0,0.27,0.01
2025-07-11 14:05:00,3.69,3.68,3.69,3.68,-0.27,-0.01,2250,828756.0,0.27,0.01
2025-07-11 14:10:00,3.68,3.68,3.69,3.68,0.0,0.0,2132,785307.0,0.27,0.01
2025-07-11 14:15:00,3.68,3.69,3.69,3.68,0.27,0.01,2156,793623.0,0.27,0.01
2025-07-11 14:20:00,3.69,3.68,3.69,3.68,-0.27,-0.01,3070,1130371.0,0.27,0.01
2025-07-11 14:25:00,3.68,3.69,3.69,3.68,0.27,0.01,1190,438514.0,0.27,0.0
2025-07-11 14:30:00,3.68,3.69,3.69,3.67,0.0,0.0,7175,2641395.0,0.54,0.03
2025-07-11 14:35:00,3.69,3.69,3.69,3.68,0.0,0.0,9325,3440250.0,0.27,0.04
2025-07-11 14:40:00,3.68,3.68,3.69,3.68,-0.27,-0.01,2953,1086923.0,0.27,0.01
2025-07-11 14:45:00,3.68,3.68,3.69,3.68,0.0,0.0,6129,2256073.0,0.27,0.02
2025-07-11 14:50:00,3.68,3.69,3.69,3.67,0.27,0.01,9561,3519168.0,0.54,0.04
2025-07-11 14:55:00,3.68,3.68,3.69,3.68,-0.27,-0.01,3644,1342166.0,0.27,0.01
2025-07-11 15:00:00,3.69,3.68,3.69,3.68,0.0,0.0,4014,1478221.0,0.27,0.02
2025-07-14 09:35:00,3.7,3.68,3.71,3.68,0.0,0.0,19158,7078755.0,0.82,0.07
2025-07-14 09:40:00,3.69,3.69,3.7,3.69,0.27,0.01,8738,3225797.0,0.27,0.03
2025-07-14 09:45:00,3.7,3.69,3.7,3.69,0.0,0.0,8112,2994065.0,0.27,0.03
2025-07-14 09:50:00,3.7,3.69,3.7,3.68,0.0,0.0,6087,2243799.0,0.54,0.02
2025-07-14 09:55:00,3.68,3.68,3.69,3.68,-0.27,-0.01,3720,1369899.0,0.27,0.01
2025-07-14 10:00:00,3.68,3.69,3.69,3.68,0.27,0.01,4284,1578271.0,0.27,0.02
2025-07-14 10:05:00,3.69,3.69,3.7,3.68,0.0,0.0,5562,2052197.0,0.54,0.02
2025-07-14 10:10:00,3.69,3.69,3.7,3.69,0.0,0.0,2920,1078780.0,0.27,0.01
2025-07-14 10:15:00,3.69,3.71,3.71,3.69,0.54,0.02,9110,3369161.0,0.54,0.03
2025-07-14 10:20:00,3.71,3.69,3.71,3.69,-0.54,-0.02,8502,3149385.0,0.54,0.03
2025-07-14 10:25:00,3.7,3.69,3.7,3.68,0.0,0.0,3746,1381396.0,0.54,0.01
2025-07-14 10:30:00,3.69,3.69,3.69,3.68,0.0,0.0,2121,782253.0,0.27,0.01
2025-07-14 10:35:00,3.68,3.69,3.7,3.68,0.0,0.0,2735,1009861.0,0.54,0.01
2025-07-14 10:40:00,3.69,3.7,3.7,3.69,0.27,0.01,1097,405324.0,0.27,0.0
2025-07-14 10:45:00,3.7,3.69,3.7,3.68,-0.27,-0.01,4172,1539728.0,0.54,0.02
2025-07-14 10:50:00,3.69,3.69,3.7,3.69,0.0,0.0,1976,729824.0,0.27,0.01
2025-07-14 10:55:00,3.7,3.7,3.7,3.69,0.27,0.01,1244,459862.0,0.27,0.0
