date,open,close,high,low,volume
2025-08-01,25.3,25.48,25.56,25.27,31884.64
2025-08-04,25.35,25.68,25.75,25.21,37861.74
2025-08-05,25.59,25.92,26.24,25.55,32302.85
2025-08-06,25.88,25.91,26.12,25.7,28399.34
2025-08-07,25.91,25.89,26.27,25.79,24632.3
2025-08-08,25.86,26.04,26.38,25.83,43746.32
2025-08-11,25.97,26.45,26.62,25.97,42256.61
2025-08-12,26.39,27.01,27.27,26.38,82040.54
2025-08-13,27.02,27.02,27.27,26.79,51731.84
2025-08-14,27.09,27.03,27.49,26.8,50957.3
2025-08-15,27.06,27.31,27.75,27.0,55991.68
2025-08-18,27.48,27.25,27.61,27.13,54784.11
2025-08-19,27.25,27.3,27.44,27.15,32411.38
2025-08-20,27.15,28.11,28.11,27.01,81543.46
2025-08-21,28.11,28.65,29.37,28.11,111072.75
2025-08-22,28.65,28.7,28.86,28.32,79956.56
